type,syllogism_en,scrambled_en,syllogism_de,syllogism_tr,ground_truth
"standard","No mammals are cold-blooded. All whales are mammals. Therefore, no whales are cold-blooded.","No glorps are mimsy-zoptic. All tomas are glorps. Therefore, no tomas are mimsy-zoptic.","Keine Säugetiere sind kaltblütig. Alle Wale sind Säugetiere. Daher sind keine Wale kaltblütig.","Hiçbir memeli soğukkanlı değildir. Bütün balinalar memelidir. Bu nedenle, hiçbir balina soğukkanlı değildir.","VALID"
"standard","No odd numbers are divisible by two. Seven is an odd number. Therefore, seven is not divisible by two.","No slithy snarks are mimsy by two. Seven is an slithy snark. Therefore, seven is not mimsy by two.","Keine ungeraden Zahlen sind durch zwei teilbar. Sieben ist eine ungerade Zahl. Daher ist sieben nicht durch zwei teilbar.","Hiçbir tek sayı ikiye bölünemez. Yedi tek bir sayıdır. Bu nedenle, yedi ikiye bölünemez.","VALID"
"standard","No reptiles have fur. All snakes are reptiles. Therefore, no snakes have fur.","No glorps have blicket. All daxs are glorps. Therefore, no daxs have blicket.","Keine Reptilien haben Fell. Alle Schlangen sind Reptilien. Daher haben keine Schlangen Fell.","Hiçbir sürüngenin kürkü yoktur. Bütün yılanlar sürüngendir. Bu nedenle, hiçbir yılanın kürkü yoktur.","VALID"
"standard","No vegetarians eat meat. John is a vegetarian. Therefore, John does not eat meat.","No blickets eat glorp. zibble is a blicket. Therefore, zibble does not eat glorp.","Keine Vegetarier essen Fleisch. John ist Vegetarier. Daher isst John kein Fleisch.","Hiçbir vejetaryen et yemez. John bir vejetaryendir. Bu nedenle, John et yemez.","VALID"
"standard","Some dogs are poodles. All poodles are energetic. Therefore, some dogs are energetic.","Some wugs are daxs. All daxs are glarfy. Therefore, some wugs are glarfy.","Einige Hunde sind Pudel. Alle Pudel sind energisch. Daher sind einige Hunde energisch.","Bazı köpekler kaniştir. Bütün kanişler enerjiktir. Bu nedenle, bazı köpekler enerjiktir.","VALID"
"standard","Some students are athletes. All athletes exercise. Therefore, some students exercise.","Some florps are snarks. All snarks exercise. Therefore, some florps exercise.","Einige Studenten sind Athleten. Alle Athleten trainieren. Daher trainieren einige Studenten.","Bazı öğrenciler sporcudur. Bütün sporcular egzersiz yapar. Bu nedenle, bazı öğrenciler egzersiz yapar.","VALID"
"standard","Some books are fiction. All fiction requires imagination. Therefore, some books require imagination.","Some wugs are florp. All florp requires toma. Therefore, some wugs require toma.","Einige Bücher sind Fiktion. Alle Fiktion erfordert Fantasie. Daher erfordern einige Bücher Fantasie.","Bazı kitaplar kurgudur. Bütün kurgular hayal gücü gerektirir. Bu nedenle, bazı kitaplar hayal gücü gerektirir.","VALID"
"standard","Some trees are evergreens. All evergreens keep their leaves in winter. Therefore, some trees keep their leaves in winter.","Some daxs are snarks. All snarks keep their zibbles in blicket. Therefore, some daxs keep their zibbles in blicket.","Einige Bäume sind immergrün. Alle immergrünen Bäume behalten ihre Blätter im Winter. Daher behalten einige Bäume ihre Blätter im Winter.","Bazı ağaçlar herdemyeşildir. Bütün herdemyeşiller kışın yapraklarını korur. Bu nedenle, bazı ağaçlar kışın yapraklarını korur.","VALID"
"standard","Some metals are magnetic. All magnetic objects attract iron. Therefore, some metals attract iron.","Some blickets are slithy. All slithy tomas attract snark. Therefore, some blickets attract snark.","Einige Metalle sind magnetisch. Alle magnetischen Objekte ziehen Eisen an. Daher ziehen einige Metalle Eisen an.","Bazı metaller manyetiktir. Bütün manyetik nesneler demiri çeker. Bu nedenle, bazı metaller demiri çeker.","VALID"
"standard","All birds lay eggs. A platypus lays eggs. Therefore, a platypus is a bird.","All blickets lay wugs. A toma lays wugs. Therefore, a toma is a blicket.","Alle Vögel legen Eier. Ein Schnabeltier legt Eier. Daher ist ein Schnabeltier ein Vogel.","Bütün kuşlar yumurtlar. Ornitorenk yumurtlar. Bu nedenle, ornitorenk bir kuştur.","INVALID"
"standard","All fish swim. Dolphins swim. Therefore, dolphins are fish.","All blicket swim. daxs swim. Therefore, daxs are blickets.","Alle Fische schwimmen. Delfine schwimmen. Daher sind Delfine Fische.","Bütün balıklar yüzer. Yunuslar yüzer. Bu nedenle, yunuslar balıktır.","INVALID"
"standard","Some politicians are wealthy. Some wealthy people own yachts. Therefore, some politicians own yachts.","Some florps are zoptic. Some zoptic daxs own snarks. Therefore, some florps own snarks.","Einige Politiker sind wohlhabend. Einige wohlhabende Menschen besitzen Yachten. Daher besitzen einige Politiker Yachten.","Bazı politikacılar zengindir. Bazı zengin insanların yatları vardır. Bu nedenle, bazı politikacıların yatları vardır.","INVALID"
"standard","All successful people work hard. John works hard. Therefore, John is successful.","All zoptic florps work hard. zibble works hard. Therefore, zibble is zoptic.","Alle erfolgreichen Menschen arbeiten hart. John arbeitet hart. Daher ist John erfolgreich.","Bütün başarılı insanlar çok çalışır. John çok çalışır. Bu nedenle, John başarılıdır.","INVALID"
"standard","All roses are flowers. Some flowers fade quickly. Therefore, all roses fade quickly.","All zibbles are florps. Some florps fade quickly. Therefore, all zibbles fade quickly.","Alle Rosen sind Blumen. Einige Blumen verblassen schnell. Daher verblassen alle Rosen schnell.","Bütün güller çiçektir. Bazı çiçekler çabuk solar. Bu nedenle, bütün güller çabuk solar.","INVALID"
"belief_bias","All birds are mammals. Penguins are birds. Therefore, penguins are mammals.","N/A","Alle Vögel sind Säugetiere. Pinguine sind Vögel. Daher sind Pinguine Säugetiere.","Bütün kuşlar memelidir. Penguenler kuştur. Bu nedenle, penguenler memelidir.","VALID"
"belief_bias","No fish can swim. Salmon are fish. Therefore, salmon cannot swim.","N/A","Keine Fische können schwimmen. Lachse sind Fische. Daher können Lachse nicht schwimmen.","Hiçbir balık yüzemez. Somonlar balıktır. Bu nedenle, somonlar yüzemez.","VALID"
"belief_bias","All furniture is made of glass. A chair is furniture. Therefore, a chair is made of glass.","N/A","Alle Möbel sind aus Glas. Ein Stuhl ist ein Möbelstück. Daher ist ein Stuhl aus Glas.","Bütün mobilyalar camdan yapılmıştır. Sandalye bir mobilyadır. Bu nedenle, sandalye camdan yapılmıştır.","VALID"
